,aparelho,marca,modelo,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,Precos
0,Smartphone,Samsung,Galaxy,A15,"6,5""",128GB,Verde,Claro,4G,4GB,RAM,Câm.,Tripla,50MP,+,Selfie,13MP,5000mAh,Dual,Chip,,"  R$ 899,10"
1,Smartphone,Samsung,Galaxy,A05s,"6,7""",128GB,Preto,6GB,RAM,Câm.,Tripla,50MP,+,Selfie,13MP,Bateria,5000mAh,Dual,Chip,,,"  R$ 719,10"
2,Smartphone,Samsung,Galaxy,A05,128GB,Preto,4G,Octa-Core,4GB,RAM,"6,7”",Câm.,Dupla,+,Selfie,8MP,,,,,,"  R$ 710,10"
3,Smartphone,Samsung,Galaxy,A15,"6,5""",256GB,Azul,Escuro,5G,8GB,RAM,Câm.,Tripla,50MP,+,Selfie,13MP,5000mAh,Dual,Chip,,"  R$ 1.104,15"
4,Smartphone,Motorola,Moto,G24,128GB,Rosa,4GB,+,4GB,RAM,Boost,"6,6""",Câm.,Dupla,+,Selfie,8MP,Dual,Chip,,,"  R$ 699,00"
5,Smartphone,Samsung,Galaxy,S23,256GB,Preto,5G,8GB,RAM,"6,1”",Câm,Tripla,+,Selfie,12MP,,,,,,,"  R$ 2.999,00"
6,Smartphone,Motorola,Moto,G34,128GB,Azul,5G,4GB,+,4GB,RAM,Boost,"6,5""",Câm.,Dupla,+,Selfie,16MP,Dual,Chip,,"  R$ 799,00"
7,iPhone,12,Apple,64GB,Preto,Tela,"6,1”",12MP,iOS,,,,,,,,,,,,,"  R$ 2.699,10"
8,Apple,iPhone,13,128GB,Estelar,Tela,"6,1”",12MP,,,,,,,,,,,,,,"  R$ 3.599,10"
9,Samsung,Galaxy,S23,FE,5G,Smartphone,Android,128GB,Grafite,,,,,,,,,,,,,"  R$ 2.474,10"
10,Smartphone,Samsung,Galaxy,A35,128GB,Rosa,5G,6GB,RAM,"6,6""",Câm.,Tripla,+,Selfie,13MP,Dual,Chip,,,,,"  R$ 1.574,10"
11,Smartphone,Motorola,Moto,G04s,128GB,Tela,"6,6",Câmera,50MP,Selfie,5MP,Dual,Chip,Android,14,,,,,,,"  R$ 700,74"
12,Smartphone,Samsung,Galaxy,A55,256GB,Azul,Escuro,5G,8GB,RAM,"6,6""",Câm.,Tripla,+,Selfie,32MP,Dual,Chip,,,,"  R$ 2.249,10"
13,Smartphone,Motorola,Moto,G84,256GB,Azul,5G,Snapdragon,695,8GB,RAM,"6,55""",Câm.,Dupla,+,Selfie,16MP,Dual,Chip,,,"  R$ 1.299,00"
14,Smartphone,Motorola,Moto,G04s,128GB,Grafite,4GB,RAM,"6,6""",Câm,50MP,+,Selfie,5MP,Dual,Chip,,,,,,"  R$ 719,10"
15,Smartphone,Motorola,Moto,G54,256GB,Azul,5G,8GB,RAM,"6,5""",Câm.,Dupla,+,Selfie,16MP,Dual,Chip,,,,,"  R$ 1.079,10"
16,Apple,iPhone,14,128GB,Estelar,"6,1”",12MP,iOS,5G,,,,,,,,,,,,,"  R$ 4.229,10"
17,Smartphone,Motorola,Moto,g34,5G,-,256GB,16GB,Ram,Boost,AI,Camera,50MP,NFC,,,,,,,,"  R$ 976,65"
18,Smartphone,Samsung,Galaxy,M55,256GB,5G,8GB,RAM,Azul,Escuro,Tela,"6,7""",Câm.,Tripla,+,Selfie,50MP,Dual,Chip,,,"  R$ 1.709,10"
19,Celular,Samsung,Galaxy,A55,"5G,",Câmera,Tripla,até,"50MP,",Tela,"6.6"",",256GB,,,,,,,,,,"  R$ 2.109,00"
20,Smartphone,Positivo,S650,Twist,5,Max,128GB,Chumbo,4G,Octa-Core,2GB,RAM,"6,5""",Câm.,Dupla,+,Selfie,8MP,Dual,Chip,,"  R$ 449,10"
21,Smartphone,Motorola,Moto,G54,256GB,Verde,5G,8GB,RAM,"6,5""",Câm.,Dupla,+,Selfie,16MP,Dual,Chip,,,,,"  R$ 1.079,10"
22,iPhone,12,Apple,256GB,Roxo,Tela,"6,1”",12MP,iOS,,,,,,,,,,,,,"  R$ 4.499,10"
23,Celular,Simples,Lenoxx,CX904_PV,2G,Dual,Chip,32MB,Desbloqueado,,,,,,,,,,,,,"R$ 88,11"
24,Smartphone,Motorola,Moto,G04s,128GB,Tela,"6,6",Câmera,50MP,Selfie,5MP,Dual,Chip,Android,14,,,,,,,"  R$ 700,74"
25,Smartphone,Samsung,Galaxy,A25,"6,5""",256GB,Azul,Escuro,5G,8GB,RAM,Câm,Tripla,50MP,+,Selfie,13MP,Bateria,5000mAh,Dual,Chip,"  R$ 1.439,10"
26,Smartphone,Motorola,Edge,40,Neo,256GB,Caneel,Bay,5G,8GB,RAM,"6,55""",Câm.,Dupla,+,Selfie,32MP,Dual,Chip,,,"  R$ 1.599,00"
27,Smartphone,Motorola,Edge,50,Fusion,256GB,Blue,Teal,5G,16GB,RAM,"6,7""",Câmera,Sony,Dupla,Selfie,32MP,Dual,Chip,,,"  R$ 2.084,40"
28,Smartphone,Motorola,Edge,50,Fusion,256GB,Pink,Vegan,Suede,5G,16GB,RAM,"6,7""",Câmera,Sony,Dupla,Selfie,32MP,Dual,Chip,,"  R$ 2.084,40"
29,Samsung,Galaxy,A15,128GB,4GB,RAM,Tela,"6.5""",Azul,Claro,,,,,,,,,,,,"  R$ 881,10"
30,Smartphone,Motorola,Moto,G84,256GB,Grafite,5G,Tela,"6,55",Câmera,Dupla,50MP,Selfie,16MP,Android,13,,,,,,"  R$ 1.371,48"
31,Smartphone,Motorola,Moto,g24,Power,-,128GB,8GB,Ram,Boost,AI,Camera,50MP,6000,mAh,,,,,,,"  R$ 699,00"
32,Smartphone,Motorola,Moto,g24,Power,-,128GB,8GB,Ram,Boost,AI,Camera,50MP,6000,mAh,,,,,,,"  R$ 699,00"
33,Smartphone,Motorola,Moto,g04s,-,128GB,8,GB,Ram,Boost,AI,Camera,16MP,sensor,FPS,lateral,,,,,,"  R$ 636,65"
34,Xiaomi,Redmi,Note,13,8GB,RAM,256GB,PRETO,,,,,,,,,,,,,,"  R$ 1.287,08"
35,Smartphone,Samsung,Galaxy,S23,Ultra,256GB,Preto,5G,12GB,RAM,"6,8”",Câm.,Quádrupla,+,Selfie,12MP,,,,,,"  R$ 4.769,10"
36,Smartphone,Samsung,Galaxy,A15,4G,128GB,4GB,RAM,Tela,"6,5""",Câmera,Tripla,50MP,Frontal,13MP,Azul,Escuro,,,,,"  R$ 799,00"
37,Celular,Idoso,teclas,grande,Lenoxx,Flip,Cx,908,Dual,Chip,,,,,,,,,,,,"R$ 127,90"
38,Apple,iPhone,16,Pro,Max,256GB,Titânio,Natural,"6,9""",48MP,iOS,5G,,,,,,,,,,"  R$ 10.619,10"
39,Smartphone,Celular,Xiaomi,Redmi,13c,8gb,256gb,,,,,,,,,,,,,,,"  R$ 1.259,48"
40,Smartphone,Xiaomi,Redmi,Note,13,256GB,-,8GB,RAM,(Ice,Blue),Azul,,,,,,,,,,"  R$ 1.343,19"
41,Apple,iPhone,16,Pro,256GB,Titânio-deserto,"6,3""",48MP,iOS,5G,,,,,,,,,,,,"  R$ 9.719,10"
42,Apple,iPhone,16,Pro,1TB,Titânio-deserto,"6,3""",48MP,iOS,5G,,,,,,,,,,,,"  R$ 12.869,10"
43,Apple,iPhone,16,Pro,Max,512GB,Titânio-deserto,"6,9""",48MP,iOS,5G,,,,,,,,,,,"  R$ 11.699,10"
44,Smartphone,Motorola,Moto,G24,128gb,4gb,"6,6''",Hd+,Grafite,,,,,,,,,,,,,"  R$ 669,00"
45,Xiaomi,Redmi,Note,13,256GB,8GB,Ram,Preto,,,,,,,,,,,,,,"  R$ 1.287,08"
46,Smartphone,Motorola,Moto,G24,128gb,4gb,"6,6''",Hd+,Verde,,,,,,,,,,,,,"  R$ 699,00"
47,Smartphone,X6,5G,12GB,RAM,512GB,,,,,,,,,,,,,,,,"  R$ 2.279,50"
48,Smartphone,Samsung,Galaxy,A15,4G,256GB,8GB,"6,5""",Azul,Escuro,,,,,,,,,,,,"  R$ 959,00"
49,Smartphone,TCL,L5,16GB,Preto,4G,Quad-Core,,,,,,,,,,,,,,,"  R$ 359,99"
50,Smartphone,Celular,Xiaomi,Redmi,13c,8gb,256gb,,,,,,,,,,,,,,,"  R$ 1.205,19"
51,Smartphone,Motorola,Moto,G84,256GB,Viva,Magenta,Vegan,Leather,5G,Tela,"6,55",Câmera,Dupla,50MP,Selfie,16MP,Android,13,,,"  R$ 1.371,48"
52,Smartphone,Infinix,Hot,30i,128GB,Preto,4G,MediaTek,8GB,RAM,"6,6""",Câm.,50MP,+,Selfie,5MP,Dual,Chip,,,,"  R$ 719,10"
53,Note,13,"Pro,","PRETO,",256GB,e,8GB,"RAM,",processador,Qualcomm,"Snapdragon,",tela,AMOLED,de,"6,67",polegadas,,,,,,"  R$ 1.839,99"
54,Smartphone,Samsung,Galaxy,A15,5G,256GB,8GB,RAM,Câmera,Tripla,50MP,+,Selfie,13MP,Tela,"6.5""",Azul,Claro,,,,"  R$ 1.614,15"
55,Celular,Samsung,Galaxy,A35,"5G,",Câmera,Tripla,até,"50MP,",Tela,"6.6"",",256GB,,,,,,,,,,"  R$ 1.583,10"
56,Celular,ObaSmart,Conecta,verde,4G,32GB,fácil,de,usar,Obabox,-,OB027,,,,,,,,,,"  R$ 413,92"
